,年份,分区,项目,合计_surface,农田灌溉_surface,林牧渔畜_surface,工业_surface,城镇公共_surface,居民生活_surface,生态环境_surface,合计_groundwater,农田灌溉_groundwater,林牧渔畜_groundwater,工业_groundwater,城镇公共_groundwater,居民生活_groundwater,生态环境_groundwater
123,2009,黄河内流区,耗水量,1.26,1.17,0.05,0.03,0.0,0.0,0.01,1.73,0.85,0.36,0.2,0.04,0.08,0.2
124,2009,合计,取水量,375.73,283.99,19.86,39.27,14.88,14.88,13.91,127.11,58.01,11.22,30.7,5.12,19.83,2.23
125,2009,合计,耗水量,306.55,227.97,17.09,32.3,12.09,12.09,13.66,86.02,46.98,9.09,13.39,2.53,12.12,1.91
126,2010,河源-兰州,取水量,2.27,1.23,0.77,0.13,0.02,0.11,0.01,0.13,0.0,0.01,0.03,0.04,0.05,0.0
127,2010,河源-兰州,耗水量,1.66,0.93,0.57,0.06,0.02,0.07,0.01,0.06,0.0,0.01,0.01,0.01,0.03,0.0
128,2010,兰州-头道拐,取水量,27.95,18.69,2.1,4.9,0.37,1.39,0.5,5.66,1.3,0.04,2.21,0.52,1.42,0.17
129,2010,兰州-头道拐,耗水量,21.93,14.98,1.55,3.64,0.31,0.96,0.49,2.87,1.04,0.03,0.69,0.21,0.79,0.11
130,2010,头道拐-龙门,取水量,155.99,132.66,7.24,9.08,0.71,1.85,4.45,26.89,13.41,2.99,6.39,0.9,2.87,0.33
131,2010,头道拐-龙门,耗水量,103.54,84.07,6.11,6.89,0.52,1.66,4.29,18.95,10.73,2.39,3.46,0.47,1.65,0.25
132,2010,龙门-三门峡,取水量,8.8,5.61,0.55,1.82,0.17,0.52,0.13,7.09,3.21,0.48,1.88,0.22,1.15,0.15
133,2010,龙门-三门峡,耗水量,7.44,4.85,0.46,1.43,0.16,0.41,0.13,5.1,2.57,0.39,1.07,0.12,0.81,0.14
134,2010,三门峡-花园口,取水量,53.43,35.16,3.15,6.29,1.17,5.43,2.23,49.61,22.97,4.57,10.7,2.36,8.1,0.91
135,2010,三门峡-花园口,耗水量,43.57,29.62,2.63,4.47,1.02,3.62,2.21,33.75,18.38,3.65,5.08,1.02,4.72,0.9
136,2010,花园口-利津,取水量,20.56,10.02,0.76,7.13,0.51,1.83,0.31,16.98,5.45,0.91,6.88,0.59,2.66,0.49
137,2010,花园口-利津,耗水量,17.42,8.97,0.65,5.44,0.49,1.58,0.29,10.0,4.36,0.73,2.68,0.25,1.57,0.41
138,2010,利津-河口,取水量,113.22,84.12,3.73,12.57,2.04,6.3,4.46,17.3,9.54,2.01,2.95,0.36,2.43,0.01
139,2010,利津-河口,耗水量,111.53,83.33,3.45,12.19,2.0,6.15,4.41,12.2,7.63,1.61,1.1,0.18,1.67,0.01
140,2010,黄河内流区,取水量,2.62,2.38,0.07,0.15,0.0,0.0,0.02,3.55,2.24,0.4,0.45,0.13,0.12,0.21
141,2010,黄河内流区,耗水量,2.07,1.9,0.05,0.1,0.0,0.0,0.02,2.77,1.79,0.32,0.3,0.09,0.08,0.19
142,2010,合计,取水量,384.84,289.87,18.37,42.07,4.99,17.43,12.11,127.21,58.12,11.41,31.49,5.12,18.8,2.27
143,2010,合计,耗水量,309.16,228.65,15.47,34.22,4.52,14.45,11.85,85.7,46.5,9.13,14.39,2.35,11.32,2.01
144,2011,河源-兰州,取水量,1.85,0.92,0.65,0.1,0.03,0.13,0.02,0.17,0.0,0.01,0.05,0.05,0.05,0.01
145,2011,河源-兰州,耗水量,1.36,0.7,0.48,0.05,0.03,0.08,0.02,0.08,0.0,0.01,0.01,0.02,0.03,0.01
146,2011,兰州-头道拐,取水量,28.56,19.45,1.77,4.97,0.4,1.4,0.57,5.74,1.33,0.04,2.23,0.53,1.44,0.17
147,2011,兰州-头道拐,耗水量,22.39,15.52,1.31,3.7,0.34,0.97,0.55,2.93,1.06,0.03,0.7,0.22,0.8,0.12
148,2011,头道拐-龙门,取水量,156.53,134.29,6.88,10.0,0.7,1.88,0.78,29.52,14.78,2.84,7.18,0.93,3.11,0.68
149,2011,头道拐-龙门,耗水量,108.27,89.98,5.75,7.7,0.51,1.7,2.63,20.96,11.83,2.27,4.1,0.48,1.71,0.57
150,2011,龙门-三门峡,取水量,9.81,5.38,0.42,2.93,0.27,0.77,0.04,7.57,3.08,0.54,2.14,0.26,1.32,0.23
151,2011,龙门-三门峡,耗水量,8.3,4.6,0.34,2.43,0.26,0.63,0.04,5.38,2.46,0.43,1.26,0.14,0.88,0.21
152,2011,三门峡-花园口,取水量,57.46,34.86,5.79,6.55,1.25,6.4,2.61,49.97,22.13,5.18,10.37,2.71,8.77,0.81
153,2011,三门峡-花园口,耗水量,46.51,28.9,5.22,4.45,1.1,4.26,2.58,34.38,17.7,4.15,5.36,1.17,5.2,0.8
154,2011,花园口-利津,取水量,23.41,11.48,1.07,7.96,0.54,1.92,0.44,15.96,4.39,0.96,6.76,0.69,2.64,0.52
155,2011,花园口-利津,耗水量,20.02,10.52,0.89,6.03,0.52,1.64,0.42,8.8,3.51,0.77,2.48,0.29,1.32,0.43
156,2011,利津-河口,取水量,127.33,92.83,4.66,14.42,2.58,6.51,6.33,16.61,9.39,2.05,2.35,0.39,2.4,0.03
157,2011,利津-河口,耗水量,125.44,91.95,4.33,14.02,2.51,6.36,6.27,11.88,7.51,1.64,0.95,0.21,1.54,0.03
158,2011,黄河内流区,取水量,2.26,1.88,0.07,0.27,0.02,0.01,0.01,3.61,2.05,0.73,0.46,0.07,0.12,0.18
159,2011,黄河内流区,耗水量,1.77,1.5,0.05,0.19,0.01,0.01,0.01,2.8,1.64,0.58,0.3,0.04,0.08,0.16
160,2011,合计,取水量,407.21,301.09,21.31,47.2,5.79,19.02,12.8,129.15,57.15,12.35,31.54,5.63,19.85,2.63
161,2011,合计,耗水量,334.06,243.67,18.37,38.57,5.28,15.65,12.52,87.21,45.71,9.88,15.16,2.57,11.56,2.33
162,2012,河源-兰州,取水量,1.81,0.97,0.59,0.07,0.03,0.14,0.01,0.07,0.01,0.01,0.02,0.01,0.02,0.0
163,2012,河源-兰州,耗水量,1.33,0.72,0.44,0.04,0.03,0.09,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.0
164,2012,兰州-头道拐,取水量,25.97,17.08,1.87,4.35,0.67,1.46,0.54,4.15,1.2,0.03,1.28,0.55,0.95,0.14
165,2012,兰州-头道拐,耗水量,21.13,13.69,1.4,3.78,0.63,1.1,0.53,2.7,0.96,0.03,0.63,0.36,0.62,0.1
166,2012,头道拐-龙门,取水量,147.77,124.42,6.82,10.73,0.76,1.91,3.13,30.23,12.38,3.14,9.38,1.38,3.3,0.65
167,2012,头道拐-龙门,耗水量,101.27,82.37,6.19,7.77,0.49,1.36,3.09,22.12,9.9,2367.0,6.02,0.85,2.12,0.56
168,2012,龙门-三门峡,取水量,11.05,5.73,0.57,2.92,0.28,0.93,0.62,8.12,3.02,0.64,2.42,0.34,1.48,0.22
169,2012,龙门-三门峡,耗水量,9.4,4.94,0.46,2.32,0.27,0.79,0.62,6.11,2.41,0.56,1.72,0.22,0.99,0.21
170,2012,三门峡-花园口,取水量,56.37,37.29,3.59,6.52,1.2,5.19,2.58,50.38,22.12,4.25,10.55,2.67,9.97,0.82
171,2012,三门峡-花园口,耗水量,45.76,31.33,2.97,4.39,1.05,3.46,2.56,37.34,17.7,3.56,7.13,1.66,6.48,0.81
172,2012,花园口-利津,取水量,23.79,11.82,0.8,8.16,0.49,2.2,0.32,16.6,4.62,1.25,6.92,0.85,2.39,0.57
173,2012,花园口-利津,耗水量,20.21,10.72,0.68,6.19,0.47,1.85,0.3,11.5,3.69,1.03,4.3,0.53,1.47,0.48
174,2012,利津-河口,取水量,125.44,92.83,3.53,11.69,2.3,6.03,9.06,17.44,10.43,1.92,2.37,0.39,2.31,0.02
175,2012,利津-河口,耗水量,123.58,91.96,3.29,11.27,2.24,5.84,8.98,13.16,8.34,1.54,1.48,0.24,1.55,0.01
176,2012,黄河内流区,取水量,0.77,0.64,0.06,0.04,0.0,0.01,0.02,3.64,2.16,0.78,0.49,0.08,0.13,0.0
177,2012,黄河内流区,耗水量,0.62,0.52,0.05,0.03,0.0,0.0,0.02,2.84,1.73,0.63,0.34,0.05,0.09,0.0
